epoch,train_loss,test_rmse,test_mse,test_pearson,test_spearman,test_ci
1,3.2822047670682273,1.367248185037122,1.8693676,0.13996100166017103,0.15771625831223282,0.5785927127883297
2,1.0784238676230113,2.2336606037372797,4.9892397,0.1588014449588392,0.16424950767810992,0.582395100972992
3,1.0333506186803183,1.1509999861729652,1.324801,0.21230454074856436,0.2522378871527238,0.6267301162992673
4,0.9847247143586476,1.1428133208950184,1.3060223,0.3660117910283416,0.3761469407041503,0.6896208651006841
5,0.9814078311125437,1.0608542543092847,1.1254117,0.39568675657063107,0.40215895132415175,0.7026548266391913
6,0.9147667109966278,1.0094289310562345,1.0189468,0.48339670051991285,0.46717448482401486,0.73782394982272
7,0.8755669156710307,1.2881669141233087,1.659374,0.5004239435008101,0.49628913426839955,0.7519952646220818
8,0.8452912469704946,1.1753997690815592,1.3815646,0.5333390114347785,0.49811209745401996,0.7550799075240201
9,0.8004619181156158,1.2512291110616893,1.5655743,0.560729680538723,0.5341618479546406,0.7736196163663334
10,0.8100122769673666,1.0843288114973135,1.175769,0.5446391697105789,0.5143043843131142,0.7633442656939516
11,0.8067892531553904,1.21548479345453,1.4774033,0.5752846323742549,0.5489256630877762,0.7811597006994258
12,0.7683033366998037,1.1707451523577213,1.3706442,0.5860032868118666,0.5519477137492912,0.783258334094998
13,0.7537733316421509,1.138180713494452,1.2954553,0.5892838096353966,0.5378595446375207,0.775706973168434
14,0.751923515399297,1.1391924916046747,1.2977595,0.5604912098545661,0.5382174072335656,0.7748208703235274
15,0.7538954277833303,1.3116519549723036,1.7204309,0.5611633709845527,0.5067459719928677,0.7578879771334425
16,0.7281933685143789,1.1444353187119007,1.3097322,0.5999441182221746,0.5621811359402221,0.7882366533602864
17,0.7225920995076497,1.0930347283649335,1.1947249,0.6094227685118211,0.550345839508266,0.7821079237259131
